season_number,season_id,metric_type,position,players,matches,goals,assists,shots,key_passes,assists_per_key_pass,shots_per_match,goals_per_match,tackles,tackles_succ,interceptions,clearances,blocks,def_actions,tackles_per_match,interceptions_per_match,def_actions_per_match,df_tackles,mf_tackles,df_interceptions,mf_interceptions,df_def_actions,mf_def_actions,df_tackle_share_pct,df_interception_share_pct,df_def_action_share_pct,df_mf_tackle_ratio,df_mf_interception_ratio,player_id,player_name,ovr,passes,warning,goal_assist_total
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,9,9,,18,0.5,,,,,,,,,,,,,,,,,,,,,,,92de69bb-7f58-4332-8f09-1675a35be2a4,韩止,57.0,314,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,18,6,9,,23,0.391,,,,,,,,,,,,,,,,,,,,,,,7c220f42-e24a-4208-8095-37a417920486,司空绍龙,64.0,408,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,18,4,9,,18,0.5,,,,,,,,,,,,,,,,,,,,,,,4230833c-f9cf-43c9-8b36-65fc7f507a3b,范智佳,59.0,523,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,15,2,9,,17,0.529,,,,,,,,,,,,,,,,,,,,,,,6e8bae14-6e5b-4864-bf15-3f4321e7884e,阿里安 帕里,67.0,397,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,13,9,,11,0.818,,,,,,,,,,,,,,,,,,,,,,,a7a2fa7a-fb54-44db-a638-ffa8150fd84a,曹致毅,68.0,279,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,12,9,,12,0.75,,,,,,,,,,,,,,,,,,,,,,,5294be98-16ca-4920-aa10-5229de3b8dec,斯特利奥斯 巴雷拉,77.0,299,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,8,9,,19,0.474,,,,,,,,,,,,,,,,,,,,,,,6586863c-a6c2-4366-b060-55e4ba05fab0,陈晨朗,73.0,558,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,17,13,9,,19,0.474,,,,,,,,,,,,,,,,,,,,,,,67a5b5e6-dbd3-4dd6-aa5f-1d53d840703a,内维奥 阿尔瓦雷斯,50.0,342,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,9,9,,21,0.429,,,,,,,,,,,,,,,,,,,,,,,603d6cfb-d273-4ac3-a142-fcf59659d13f,伊格纳茨 勒鲁瓦,69.0,383,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,8,9,,21,0.429,,,,,,,,,,,,,,,,,,,,,,,298879c0-9680-4998-b307-6cf6931943a2,许鼎,77.0,262,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,18,11,8,,11,0.727,,,,,,,,,,,,,,,,,,,,,,,3d4e6878-a9fb-483a-b0c1-b8bbee0e18e4,育塔蓬 德维,60.0,382,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,19,15,8,,35,0.229,,,,,,,,,,,,,,,,,,,,,,,9d4ef65d-dc64-41c3-a780-aaaf73c286d4,雅罗斯拉夫 萨维利耶夫,78.0,574,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,16,8,8,,27,0.296,,,,,,,,,,,,,,,,,,,,,,,17ad7b5e-321b-4522-bdba-fafa0447aba4,季书,77.0,366,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,17,9,8,,15,0.533,,,,,,,,,,,,,,,,,,,,,,,f4537801-278e-412c-b214-7a165576532b,佐蒂科斯 弗拉泰西,60.0,234,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,13,8,,25,0.32,,,,,,,,,,,,,,,,,,,,,,,3172fd22-855b-4378-9e37-ed8d846d28b2,若纳斯 穆尼奥斯,77.0,641,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,MF,,19,7,8,,23,0.348,,,,,,,,,,,,,,,,,,,,,,,1d7c735b-166a-4b50-9a93-d23ce6beeef5,马斯 耶斯佩尔,57.0,352,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,DF,,15,2,8,,6,1.333,,,,,,,,,,,,,,,,,,,,,,,aefe70a6-08b7-41f3-9287-e9947a5d40d3,埃米尔 穆塔西姆,60.0,282,True,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,assist_leader,FW,,18,7,8,,9,0.889,,,,,,,,,,,,,,,,,,,,,,,ddce5100-7f8c-4b97-8102-d2fa78cd58eb,科阿 贾尔斯,58.0,230,False,
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,26,5,65,,,,,,,,,,,,,,,,,,,,,,,,,87497843-c37c-4e68-bad7-895efb88d6b9,卡尔米内 德卢卡,62.0,,,31
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,19,16,10,60,,,,,,,,,,,,,,,,,,,,,,,,,9a5dbcd7-4715-43f2-8267-4e5456edf161,曾强,61.0,,,26
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,14,11,62,,,,,,,,,,,,,,,,,,,,,,,,,d47e8710-eada-4447-9e54-030b7b5fb918,茂 北野,56.0,,,25
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,MF,,17,18,5,39,,,,,,,,,,,,,,,,,,,,,,,,,fad54b70-7f9b-4d94-a121-856bee2ddda6,冯伟俊,53.0,,,23
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,18,15,7,37,,,,,,,,,,,,,,,,,,,,,,,,,eb8e89e8-62c4-49a7-96a6-c840539e4412,国栋 朋,59.0,,,22
1,51f84adf-9db3-48e2-87fd-fcc817a5c8a0,low_ovr_high_output,FW,,16,15,7,61,,,,,,,,,,,,,,,,,,,,,,,,,a7c53f9a-d66d-4a79-9e3c-a9c6a23f8b27,温坤宁,55.0,,,22
